schema_version,experiment_id,workload_name,workload_hash,baseline,candidate_source,bank_count,capacity_bytes,bandwidth_bytes_per_cycle,ports_per_bank,request_buffer_depth,compute_cycles,bank_stall_cycles,weight_load_stall_cycles,prefetch_miss_stall_cycles,prefetch_interference_stall_cycles,mapping_overhead_cycles,communication_stall_cycles,other_stall_cycles,total_cycles,bank_conflict_count,bank_conflict_rate,bank_imbalance,hotspot_bank_ratio,idle_bank_ratio,effective_bank_parallelism,max_queue_depth,prefetch_requests,prefetch_bytes,prefetch_coverage,prefetch_accuracy,timely_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,prefetch_occupancy_byte_cycles,compute_transfer_overlap_cycles,mapping_count,mapping_failures,peak_occupied_bytes,fallback_used,selected_candidate,window,chunk_tiles
1,date2-window_chunk-w2_c8,MoDSE,337fe048a9556c0bdea14ad7946601bed29c88ad19ab072abb18b9baf998d856,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,55504,18976,0,20,0,0,1482756,1792,0.9824561403508772,0.1965993789142623,0.0416666666666666,0.0,0.1655472862588491,32,8,401408,0.4,1.0,0.0,1.0,0.0,1338114048,7360,20,3,1402880,False,,2,8
1,date2-window_chunk-w2_c8,MoDSE,337fe048a9556c0bdea14ad7946601bed29c88ad19ab072abb18b9baf998d856,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,70936,0,0,20,0,0,1479212,1791,0.981907894736842,0.2203701871637398,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6560,20,3,1404928,True,Dynamic-NoPF,2,8
1,date2-window_chunk-w4_c1,MoDSE,09cf7d3c3dcb1647c2ca48917ec6aca602373345137cc50b516b43819b2e887c,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,171104,90144,0,98,0,0,1669602,1792,0.9824561403508772,0.1352556486413094,0.0,0.0,0.1655472862588491,32,38,520192,0.3877551020408163,1.0,0.0,1.0,0.0,1245184000,5632,98,0,1474560,False,,4,1
1,date2-window_chunk-w4_c1,MoDSE,09cf7d3c3dcb1647c2ca48917ec6aca602373345137cc50b516b43819b2e887c,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,248944,0,0,98,0,0,1657298,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,98,0,1466368,True,Dynamic-NoPF,4,1
1,date2-window_chunk-w4_c2,MoDSE,e6d1a2438c25b375443baf35d96187f4265a4bd1f0351ae8989b6430716667c7,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,118432,60896,0,54,0,0,1587638,1792,0.9824561403508772,0.1725641716921579,0.0,0.0,0.1655472862588491,32,22,487424,0.4074074074074074,1.0,0.0,1.0,0.0,1369997312,6056,54,12,1443840,False,,4,2
1,date2-window_chunk-w4_c2,MoDSE,e6d1a2438c25b375443baf35d96187f4265a4bd1f0351ae8989b6430716667c7,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,163760,0,0,54,0,0,1572070,1792,0.9824561403508772,0.2031322136299896,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,54,4,1435648,True,Dynamic-NoPF,4,2
1,date2-window_chunk-w4_c4,MoDSE,dc152d2a7ebad0a11bf6aeeefaacc7e8d5a60a72586c7fd2ca888c8d0f9524dd,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,78000,39248,0,32,0,0,1525536,1791,0.981907894736842,0.1967827567910048,0.0,0.0,0.1655472862588491,32,14,471040,0.4375,1.0,0.0,1.0,0.0,1575370752,6784,32,8,1409024,False,,4,4
1,date2-window_chunk-w4_c4,MoDSE,dc152d2a7ebad0a11bf6aeeefaacc7e8d5a60a72586c7fd2ca888c8d0f9524dd,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,115360,0,0,32,0,0,1523648,1788,0.9802631578947368,0.3004305927990124,0.0833333333333333,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6520,32,26,1298432,True,Dynamic-NoPF,4,4
1,date2-window_chunk-w4_c8,MoDSE,fca04fe94f30ca6e53866cb2d349fbf76d905d5d6bee879ae3c856206fa0c768,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,55432,18840,0,20,0,0,1482548,1792,0.9824561403508772,0.1982436733331495,0.0833333333333333,0.0,0.1655472862588491,32,8,401408,0.4,1.0,0.0,1.0,0.0,1338114048,7360,20,3,1382400,False,,4,8
1,date2-window_chunk-w4_c8,MoDSE,fca04fe94f30ca6e53866cb2d349fbf76d905d5d6bee879ae3c856206fa0c768,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,70936,0,0,20,0,0,1479212,1791,0.981907894736842,0.2203701871637398,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6560,20,3,1404928,True,Dynamic-NoPF,4,8
1,date2-window_chunk-w8_c1,MoDSE,5b2d6a3eaf3d941bec3cd677a1c34d7cb6a9b5ab604b99182be5a11c5306de2e,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,171104,89248,0,98,0,0,1668706,1792,0.9824561403508772,0.1352556486413094,0.0,0.0,0.1655472862588491,32,38,520192,0.3877551020408163,1.0,0.0,1.0,0.0,1249099776,5632,98,0,1474560,False,,8,1
1,date2-window_chunk-w8_c1,MoDSE,5b2d6a3eaf3d941bec3cd677a1c34d7cb6a9b5ab604b99182be5a11c5306de2e,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,248944,0,0,98,0,0,1657298,1792,0.9824561403508772,0.1459281119264397,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,98,0,1466368,True,Dynamic-NoPF,8,1
1,date2-window_chunk-w8_c2,MoDSE,706c6a1abfbffa979eea901f4ca7555e20d298850f32932368bae3ea0e5ba92e,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,107616,67152,0,54,0,0,1583078,1792,0.9824561403508772,0.1643420525894315,0.0,0.0,0.1655472862588491,32,24,516096,0.4444444444444444,1.0,0.0,1.0,0.0,1468137472,5632,54,0,1472512,False,,8,2
1,date2-window_chunk-w8_c2,MoDSE,706c6a1abfbffa979eea901f4ca7555e20d298850f32932368bae3ea0e5ba92e,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,163760,0,0,54,0,0,1572070,1792,0.9824561403508772,0.2031322136299896,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,5600,54,4,1435648,True,Dynamic-NoPF,8,2
1,date2-window_chunk-w8_c4,MoDSE,319aebc51ab9f4c7b6b17fe7ca525e595d6274ac3a288b38d36cfda539cd42a2,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,78000,38824,0,32,0,0,1525112,1791,0.981907894736842,0.1967827567910048,0.0,0.0,0.1655472862588491,32,14,471040,0.4375,1.0,0.0,1.0,0.0,1573847040,6784,32,4,1409024,False,,8,4
1,date2-window_chunk-w8_c4,MoDSE,319aebc51ab9f4c7b6b17fe7ca525e595d6274ac3a288b38d36cfda539cd42a2,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,115360,0,0,32,0,0,1523648,1788,0.9802631578947368,0.3004305927990124,0.0833333333333333,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6520,32,26,1298432,True,Dynamic-NoPF,8,4
1,date2-window_chunk-w8_c8,MoDSE,4a007ca89885c470b1370b38274b3f46656680d7ac738a853eada8cf5d3fb673,MemDomain-Raw,measured,24,1572864,384.0,1,32,1407232,1024,55360,18696,0,20,0,0,1482332,1792,0.9824561403508772,0.1982436733331495,0.0833333333333333,0.0,0.1655472862588491,32,8,401408,0.4,1.0,0.0,1.0,0.0,1338376192,7360,20,2,1382400,False,,8,8
1,date2-window_chunk-w8_c8,MoDSE,4a007ca89885c470b1370b38274b3f46656680d7ac738a853eada8cf5d3fb673,MemDomain-Safe,Dynamic-NoPF|MemDomain-Raw|Static-NoPF,24,1572864,384.0,1,32,1407232,1024,70936,0,0,20,0,0,1479212,1791,0.981907894736842,0.2203701871637398,0.0,0.0,0.1655472862588491,32,0,0,0.0,0.0,0.0,0.0,0.0,0,6560,20,3,1404928,True,Dynamic-NoPF,8,8
