ia_banks,weight_banks,oa_banks,total_cycles,memory_stall_cycles,bank_conflicts,hotspot_ratio,idle_ratio,normalized_cycles
4,18,2,152592,64640,4760,0.16123188405797098,0.06702898550724638,1.360679126836924
4,19,1,204368,116416,4765,0.14311594202898545,0.07608695652173912,1.8223712369810243
5,1,18,196880,108928,4742,0.13043478260869562,0.034420289855072464,1.7555999429305178
5,2,17,150864,62912,4740,0.15217391304347822,0.03079710144927536,1.3452703666714225
5,3,16,135632,47680,4738,0.18115942028985504,0.02717391304347826,1.2094449992866314
5,4,15,128400,40448,4737,0.20289855072463767,0.025362318840579712,1.144956484519903
5,5,14,124112,36160,4737,0.22826086956521735,0.025362318840579712,1.1067199315166214
5,6,13,121168,33216,4737,0.26992753623188404,0.025362318840579712,1.0804679697531745
5,7,12,119824,31872,4737,0.2826086956521739,0.025362318840579712,1.06848337851334
5,8,11,118672,30720,4737,0.2590579710144927,0.025362318840579712,1.058210871736339
5,9,10,117648,29696,4739,0.17753623188405795,0.02898550724637681,1.049079754601227
5,10,9,117520,29568,4741,0.1467391304347826,0.03260869565217391,1.047938364959338
5,11,8,117648,29696,4743,0.12318840579710141,0.036231884057971016,1.049079754601227
5,12,7,118032,30080,4745,0.1829710144927536,0.03985507246376811,1.052503923526894
5,13,6,118776,30824,4747,0.17028985507246375,0.04347826086956521,1.0591382508203737
5,14,5,120480,32528,4749,0.17934782608695649,0.04710144927536233,1.0743330004280212
5,15,4,125144,37192,4751,0.19021739130434778,0.050724637681159424,1.1159223855043516
5,16,3,133328,45376,4754,0.1757246376811594,0.056159420289855065,1.1888999857326294
5,17,2,149976,62024,4757,0.15217391304347824,0.06159420289855072,1.3373519760308175
5,18,1,202800,114848,4760,0.1340579710144927,0.06702898550724638,1.808389213867884
6,1,17,195152,107200,4739,0.12318840579710141,0.028985507246376805,1.7401911827650165
6,2,16,148048,60096,4737,0.14492753623188404,0.02536231884057971,1.3201597945498644
6,3,15,132816,44864,4736,0.17391304347826086,0.023550724637681156,1.1843344271650735
6,4,14,125520,37568,4736,0.20289855072463767,0.023550724637681156,1.1192752175774006
6,5,13,121168,33216,4736,0.23731884057971014,0.023550724637681156,1.0804679697531745
6,6,12,117968,30016,4736,0.2608695652173913,0.023550724637681156,1.0519332287059495
6,7,11,116688,28736,4736,0.27355072463768115,0.023550724637681156,1.0405193322870594
6,8,10,115344,27392,4736,0.25,0.023550724637681156,1.028534741047225
6,9,9,114128,26176,4738,0.16847826086956522,0.027173913043478257,1.0176915394492796
6,10,8,114128,26176,4740,0.14492753623188406,0.03079710144927536,1.0176915394492796
6,11,7,114512,26560,4742,0.1829710144927536,0.034420289855072464,1.0211157083749465
6,12,6,114960,27008,4744,0.16304347826086957,0.03804347826086956,1.025110572121558
6,13,5,118328,30376,4746,0.1721014492753623,0.04166666666666666,1.0551433870737623
6,14,4,122992,35040,4748,0.1829710144927536,0.04528985507246376,1.0967327721500928
6,15,3,131112,43160,4751,0.16847826086956522,0.050724637681159424,1.169139677557426
6,16,2,148160,60208,4754,0.14492753623188404,0.056159420289855065,1.3211585104865173
6,17,1,201776,113824,4757,0.12681159420289853,0.06159420289855072,1.7992580967327723
7,1,16,194512,106560,4736,0.1376811594202898,0.023550724637681156,1.7344842345555713
7,2,15,146512,58560,4735,0.15942028985507245,0.021739130434782608,1.3064631188471965
