layer,layer_type,ia_banks,weight_banks,oa_banks,total_cycles,memory_service_cycles,memory_stall_cycles,bank_conflict_count,bank_conflict_rate,hotspot_bank_ratio,idle_bank_ratio,max_bank_pressure,max_queue_depth,total_cycles_best,slowdown,ratio
QKTV_head,Non-MoE,2,6,7,9040,9040,6704,9696,0.9126506024096386,0.7333333333333333,0.7333333333333333,6.5,1,8320,1.0865384615384615,2:6:7
Attn_O_proj,Non-MoE,2,6,7,40416,40416,29472,43848,0.9098605577689244,0.2666666666666666,0.2666666666666666,3.0,1,37512,1.0774152271273192,2:6:7
Router_logits,Non-MoE,2,6,7,3904,3904,2848,4060,0.8486622073578596,0.7333333333333333,0.7333333333333333,6.5,1,3334,1.1709658068386324,2:6:7
MoE-E0-FF1,Expert-FF1,2,6,7,22734,22734,16578,27702,0.8665540540540541,0.3333333333333333,0.3333333333333333,1.8333333333333333,1,21276,1.0685279187817258,2:6:7
MoE-E0-FF2,Expert-FF2,2,6,7,23196,23196,17796,27324,0.8730828220858896,0.4,0.4,1.8333333333333333,1,21612,1.07329261521377,2:6:7
MoE-E1-FF1,Expert-FF1,2,6,7,3789,3789,2763,4257,0.8958333333333334,0.2666666666666666,0.2666666666666666,3.0,1,3528,1.0739795918367347,2:6:7
MoE-E1-FF2,Expert-FF2,2,6,7,3690,3690,2502,4338,0.8860294117647058,0.0666666666666666,0.0666666666666666,1.5,1,3456,1.0677083333333333,2:6:7
MoE-E2-FF1,Expert-FF1,2,6,7,32256,32256,23328,38952,0.8391933815925543,0.2,0.2,1.5,1,30312,1.0641330166270784,2:6:7
MoE-E2-FF2,Expert-FF2,2,6,7,32580,32580,24948,38466,0.8451094120748748,0.4,0.4,2.5,1,30474,1.069108092144123,2:6:7
MoE-E3-FF1,Expert-FF1,2,6,7,3846,3846,2766,4308,0.8547619047619047,0.3333333333333333,0.3333333333333333,1.6666666666666667,1,3618,1.0630182421227197,2:6:7
MoE-E3-FF2,Expert-FF2,2,6,7,3846,3846,2766,4308,0.8547619047619047,0.3333333333333333,0.3333333333333333,1.6666666666666667,1,3618,1.0630182421227197,2:6:7
MoE-E4-FF1,Expert-FF1,2,6,7,16614,16614,11970,19980,0.827123695976155,0.2666666666666666,0.2666666666666666,1.6666666666666667,1,15642,1.0621403912543153,2:6:7
MoE-E4-FF2,Expert-FF2,2,6,7,16698,16698,12702,19764,0.8322385042950985,0.4,0.4,2.0,1,15654,1.0666922192410886,2:6:7
MoE-E5-FF1,Expert-FF1,2,6,7,8892,8892,6444,10824,0.8509433962264151,0.2666666666666666,0.2666666666666666,1.6666666666666667,1,8376,1.0616045845272206,2:6:7
MoE-E5-FF2,Expert-FF2,2,6,7,8982,8982,6750,10740,0.8556405353728489,0.3333333333333333,0.3333333333333333,1.6666666666666667,1,8436,1.0647226173541964,2:6:7
MoE-E6-FF1,Expert-FF1,2,6,7,8520,8520,6090,10305,0.8149466192170819,0.3333333333333333,0.3333333333333333,1.8333333333333333,1,8130,1.047970479704797,2:6:7
MoE-E6-FF2,Expert-FF2,2,6,7,8538,8538,6432,10224,0.8208092485549133,0.4,0.4,1.8333333333333333,1,8100,1.0540740740740742,2:6:7
MoE-E7-FF1,Expert-FF1,2,6,7,7860,7860,5610,9405,0.8028169014084507,0.4,0.4,2.0,1,7455,1.0543259557344065,2:6:7
MoE-E7-FF2,Expert-FF2,2,6,7,7842,7842,5916,9324,0.8076923076923077,0.4,0.4,2.0,1,7392,1.0608766233766234,2:6:7
